,n = 500,n = 1000,n = 1500,n = 2000
412,0.018,0.009,0.004666666666666667,0.0045
413,0.016,0.006,0.005333333333333333,0.0045
414,0.012,0.009,0.008,1.0
415,0.986,0.011,0.005333333333333333,0.007
416,0.012,0.006,1.0,1.0
417,0.036,0.008,1.0,0.004
418,0.012,0.01,0.01,1.0
419,0.99,0.008,0.005333333333333333,0.0035
420,0.02,0.011,0.005333333333333333,0.0045
421,0.022,0.009,1.0,1.0
422,0.014,0.006,0.004666666666666667,0.007
423,0.018,0.014,0.007333333333333333,1.0
424,0.012,0.007,0.005333333333333333,1.0
425,0.014,0.006,0.005333333333333333,0.004
426,0.014,0.006,0.004666666666666667,0.0035
427,0.012,0.008,0.008666666666666666,0.004
428,0.994,1.0,0.005333333333333333,0.0045
429,0.014,1.0,0.008666666666666666,0.9995
430,0.012,0.006,0.005333333333333333,1.0
431,0.012,0.008,1.0,1.0
432,0.014,0.006,0.004666666666666667,0.004
433,0.012,0.012,0.006,0.007
434,0.994,0.008,0.998,0.008
435,0.026,0.006,1.0,0.004
436,0.016,0.015,0.006666666666666667,0.005
437,0.032,0.999,0.004666666666666667,0.0035
438,0.012,0.009,0.004666666666666667,0.0055
439,0.02,0.008,0.010666666666666666,0.004
440,0.024,0.008,0.006,1.0
441,0.022,1.0,0.007333333333333333,0.004
442,0.992,0.998,0.005333333333333333,0.005
443,0.014,0.012,0.005333333333333333,1.0
444,0.016,0.007,0.006666666666666667,0.007
445,0.016,0.01,0.005333333333333333,0.0055
446,0.016,0.013,0.9993333333333333,0.004
447,0.05,0.017,0.004666666666666667,0.005
448,0.016,0.009,0.005333333333333333,1.0
449,0.016,0.006,0.008666666666666666,0.0075
450,0.014,0.008,0.004666666666666667,0.0035
451,0.016,0.006,0.008,0.0055
452,0.014,0.015,0.004666666666666667,0.005
453,0.014,0.006,0.005333333333333333,0.006
454,0.016,0.011,0.004666666666666667,1.0
455,0.016,0.006,0.005333333333333333,1.0
456,0.012,0.006,0.005333333333333333,0.005
457,0.014,0.006,0.005333333333333333,0.0035
458,0.996,1.0,1.0,0.004
459,0.014,0.006,1.0,1.0
460,0.012,0.01,0.9993333333333333,0.0045
461,0.016,0.006,0.005333333333333333,0.007
462,0.012,0.007,0.006,0.0075
463,0.014,0.006,0.004666666666666667,0.004
464,0.016,0.008,0.010666666666666666,0.0035
465,0.014,0.006,0.007333333333333333,0.0045
466,0.014,0.008,0.9993333333333333,1.0
467,0.016,0.006,0.005333333333333333,0.0035
468,0.016,0.008,0.004666666666666667,0.0045
469,0.998,0.01,1.0,0.0035
470,0.02,0.007,0.006,1.0
471,0.02,0.006,0.006,0.0035
472,0.02,0.006,0.006,0.0035
473,0.016,1.0,0.008666666666666666,0.0045
474,0.012,0.007,0.9993333333333333,0.007
475,0.018,0.998,0.012,0.0035
476,0.014,0.006,0.006666666666666667,0.004
477,0.99,0.007,0.006,1.0
478,0.026,0.006,0.01,0.0055
479,0.016,0.008,0.005333333333333333,0.0035
480,0.014,0.006,0.006,1.0
481,0.016,0.006,0.9986666666666667,0.0045
482,0.012,0.013,0.005333333333333333,0.004
483,0.012,0.009,0.006,0.0035
484,0.014,0.007,0.9993333333333333,0.004
485,0.032,0.01,0.9993333333333333,1.0
486,0.012,0.007,1.0,1.0
487,0.012,0.017,0.01,0.005
488,0.024,0.007,1.0,1.0
489,0.014,0.006,0.005333333333333333,0.007
490,0.014,0.007,0.005333333333333333,0.0055
491,0.034,0.006,0.007333333333333333,0.004
492,0.024,0.008,0.005333333333333333,0.0035
493,0.012,0.007,0.004666666666666667,0.0035
494,0.012,0.008,0.004666666666666667,0.005
495,0.018,0.999,0.004666666666666667,0.008
496,0.02,0.999,0.005333333333333333,1.0
497,0.994,0.007,0.004666666666666667,0.0085
498,0.016,0.009,0.005333333333333333,0.0035
499,0.012,0.007,0.006,0.004
500,0.012,0.006,0.006666666666666667,0.005
501,0.014,0.006,0.007333333333333333,1.0
502,0.018,0.01,0.01,0.004
503,0.022,0.009,0.004666666666666667,0.0055
504,0.022,1.0,0.007333333333333333,0.007
505,0.018,0.999,0.005333333333333333,0.0065
506,0.02,0.007,1.0,0.007
507,0.012,0.007,1.0,0.005
508,0.018,0.007,0.007333333333333333,0.006
509,0.016,0.007,0.004666666666666667,0.0055
510,0.012,0.007,0.006,0.005
511,0.012,0.006,0.004666666666666667,0.009
512,0.992,0.006,0.006666666666666667,0.0055
513,0.992,1.0,0.01,0.0035
514,0.014,0.011,1.0,0.0045
515,1.0,0.007,0.005333333333333333,1.0
516,0.012,0.007,0.006,0.0065
517,0.04,0.012,0.008,0.0045
518,0.016,0.012,0.011333333333333334,0.005
519,0.022,0.006,1.0,0.0035
520,0.024,0.009,0.005333333333333333,1.0
521,0.012,0.006,0.005333333333333333,0.0045
522,0.014,0.014,0.006,0.0055
523,0.012,0.999,1.0,0.0065
524,0.992,0.006,0.004666666666666667,0.0035
525,0.012,0.015,0.007333333333333333,0.0075
526,0.02,0.008,0.005333333333333333,0.0035
527,0.026,0.007,0.005333333333333333,0.0035
528,0.014,0.007,0.006,0.0035
529,0.018,0.018,0.004666666666666667,0.004
530,0.016,0.006,0.006666666666666667,0.0035
531,0.014,0.007,0.006666666666666667,0.0035
532,0.02,0.006,0.009333333333333334,0.004
533,0.014,0.012,0.006,1.0
534,0.018,0.006,0.006666666666666667,0.0035
