,n = 500,n = 1000,n = 1500,n = 2000
380,0.044,0.041,0.030666666666666665,0.0365
381,0.07,0.038,0.038,0.03
382,0.05,0.038,0.037333333333333336,0.0265
383,0.058,0.051,0.034,0.039
384,0.058,0.044,0.03266666666666666,0.0285
385,0.072,0.036,0.030666666666666665,0.0255
386,0.058,0.053,0.03133333333333333,0.03
387,0.052,0.039,0.03,0.0305
388,0.052,0.037,0.03266666666666666,0.0305
389,0.048,0.032,0.030666666666666665,0.0305
390,0.052,0.04,0.034666666666666665,0.0275
391,0.044,0.036,0.042,0.032
392,0.062,0.035,0.028,0.032
393,0.074,0.041,0.030666666666666665,0.032
394,0.054,0.041,0.028666666666666667,0.0255
395,0.048,0.04,0.035333333333333335,0.037
396,0.058,0.037,0.032,0.0375
397,0.06,0.044,0.03666666666666667,0.0255
398,0.058,0.038,0.02666666666666667,0.028
399,0.058,0.039,0.034666666666666665,0.03
400,0.056,0.036,0.03666666666666667,0.039
401,0.044,0.036,0.03333333333333333,0.0245
402,0.056,0.036,0.03133333333333333,0.025
403,0.046,0.034,0.032,0.0285
404,0.092,0.043,0.037333333333333336,0.0265
405,0.054,0.039,0.035333333333333335,0.025
406,0.06,0.035,0.029333333333333333,0.0295
407,0.044,0.035,0.028666666666666667,0.0255
408,0.078,0.037,0.03133333333333333,0.0275
409,0.056,0.041,0.03133333333333333,0.027
410,0.054,0.045,0.030666666666666665,0.0275
411,0.052,0.04,0.030666666666666665,0.0275
412,0.076,0.036,0.030666666666666665,0.032
413,0.066,0.048,0.034,0.029
414,0.048,0.04,0.032,0.032
415,0.056,0.04,0.029333333333333333,0.0285
416,0.048,0.036,0.04133333333333333,0.03
417,0.048,0.033,0.03,0.0295
418,0.048,0.038,0.030666666666666665,0.0295
419,0.056,0.037,0.029333333333333333,0.0355
420,0.052,0.038,0.03,0.025
421,0.064,0.037,0.035333333333333335,0.027
422,0.058,0.037,0.038,0.0325
423,0.052,0.041,0.03266666666666666,0.0245
424,0.062,0.035,0.03133333333333333,0.0295
425,0.058,0.04,0.037333333333333336,0.0315
426,0.06,0.04,0.03133333333333333,0.032
427,0.066,0.036,0.035333333333333335,0.029
428,0.046,0.043,0.03333333333333333,0.0335
429,0.052,0.043,0.03866666666666667,0.0255
430,0.056,0.038,0.03333333333333333,0.0255
431,0.06,0.035,0.034,0.027
432,0.054,0.046,0.04066666666666666,0.0295
433,0.054,0.031,0.03133333333333333,0.027
434,0.05,0.038,0.028666666666666667,0.0245
435,0.064,0.04,0.03666666666666667,0.028
436,0.048,0.039,0.08,0.029
437,0.052,0.042,0.028,0.0325
438,0.062,0.045,0.03333333333333333,0.0245
439,0.056,0.044,0.03933333333333333,0.0295
440,0.052,0.046,0.035333333333333335,0.025
441,0.058,0.038,0.03866666666666667,0.0255
442,0.066,0.036,0.036,0.0275
443,0.056,0.033,0.032,0.026
444,0.062,0.038,0.028666666666666667,0.0295
445,0.048,0.047,0.032,0.0285
446,0.052,0.038,0.028,0.0275
447,0.078,0.041,0.03133333333333333,0.0275
448,0.058,0.034,0.030666666666666665,0.025
449,0.06,0.046,0.03133333333333333,0.0335
450,0.056,0.05,0.030666666666666665,0.0265
451,0.062,0.04,0.03133333333333333,0.027
452,0.05,0.035,0.032,0.024
453,0.06,0.04,0.03866666666666667,0.0325
454,0.056,0.036,0.036,0.0375
455,0.052,0.058,0.03866666666666667,0.033
456,0.048,0.04,0.037333333333333336,0.0255
457,0.052,0.039,0.03,0.03
458,0.056,0.042,0.029333333333333333,0.045
459,0.05,0.048,0.04533333333333334,0.0275
460,0.064,0.038,0.034666666666666665,0.024
461,0.046,0.042,0.029333333333333333,0.0295
462,0.046,0.039,0.03266666666666666,0.028
463,0.06,0.057,0.028,0.026
464,0.058,0.035,0.02666666666666667,0.025
465,0.06,0.039,0.032,0.0315
466,0.062,0.055,0.037333333333333336,0.028
467,0.046,0.041,0.027333333333333334,0.031
468,0.054,0.041,0.036,0.0305
469,0.052,0.038,0.03933333333333333,0.027
470,0.052,0.037,0.028,0.029
471,0.052,0.043,0.03266666666666666,0.032
472,0.076,0.037,0.03266666666666666,0.0295
473,0.052,0.034,0.035333333333333335,0.029
474,0.052,0.042,0.029333333333333333,0.0335
475,0.05,0.035,0.04,0.029
476,0.058,0.043,0.032,0.033
477,0.05,0.04,0.03866666666666667,0.0255
478,0.07,0.037,0.03133333333333333,0.032
479,0.05,0.047,0.03133333333333333,0.029
480,0.05,0.042,0.038,0.023
481,0.05,0.037,0.03,0.0275
482,0.05,0.041,0.030666666666666665,0.024
483,0.05,0.043,0.037333333333333336,0.025
484,0.066,0.037,0.042666666666666665,0.029
485,0.072,0.037,0.04,0.029
486,0.068,0.052,0.03,0.03
487,0.048,0.044,0.034,0.029
488,0.05,0.042,0.029333333333333333,0.027
489,0.046,0.041,0.04666666666666667,0.0275
490,0.044,0.044,0.028666666666666667,0.032
491,0.076,0.039,0.03666666666666667,0.0335
492,0.048,0.039,0.03,0.0295
493,0.062,0.046,0.03133333333333333,0.0265
494,0.046,0.039,0.032,0.029
495,0.072,0.036,0.028666666666666667,0.033
496,0.074,0.033,0.034,0.027
497,0.052,0.048,0.034666666666666665,0.0315
498,0.046,0.033,0.032,0.0235
499,0.052,0.033,0.034666666666666665,0.0255
500,0.086,0.041,0.030666666666666665,0.027
501,0.056,0.037,0.027333333333333334,0.029
502,0.07,0.032,0.03866666666666667,0.029
503,0.052,0.044,0.03266666666666666,0.0315
504,0.054,0.036,0.032,0.025
505,0.05,0.036,0.042,0.037
506,0.058,0.035,0.03133333333333333,0.027
507,0.064,0.042,0.028,0.038
508,0.056,0.041,0.038,0.0255
509,0.052,0.037,0.03333333333333333,0.0235
510,0.054,0.035,0.034,0.03
511,0.058,0.04,0.03933333333333333,0.0275
512,0.044,0.043,0.03333333333333333,0.029
513,0.05,0.049,0.030666666666666665,0.0275
514,0.066,0.035,0.029333333333333333,0.0295
515,0.064,0.033,0.028666666666666667,0.025
516,0.126,0.04,0.03333333333333333,0.0295
517,0.048,0.045,0.03266666666666666,0.0315
518,0.05,0.038,0.03266666666666666,0.0305
519,0.048,0.049,0.032,0.032
520,0.052,0.039,0.03333333333333333,0.026
521,0.046,0.046,0.03,0.031
522,0.052,0.035,0.034,0.034
523,0.05,0.039,0.029333333333333333,0.0305
524,0.05,0.035,0.030666666666666665,0.028
525,0.046,0.039,0.027333333333333334,0.028
526,0.058,0.036,0.027333333333333334,0.029
527,0.05,0.031,0.04666666666666667,0.0285
528,0.05,0.041,0.04066666666666666,0.028
529,0.05,0.045,0.034666666666666665,0.0315
530,0.068,0.035,0.038,0.037
531,0.052,0.033,0.03666666666666667,0.0275
532,0.052,0.034,0.035333333333333335,0.031
533,0.056,0.038,0.03,0.0315
534,0.046,0.031,0.028666666666666667,0.0285
535,0.054,0.039,0.03333333333333333,0.0265
536,0.046,0.042,0.03333333333333333,0.0265
537,0.054,0.047,0.029333333333333333,0.0285
538,0.062,0.035,0.027333333333333334,0.0235
539,0.06,0.05,0.03666666666666667,0.026
540,0.056,0.05,0.029333333333333333,0.027
541,0.05,0.033,0.028,0.0285
542,0.048,0.036,0.03666666666666667,0.035
543,0.058,0.034,0.03,0.0335
544,0.056,0.039,0.032,0.03
545,0.058,0.047,0.034,0.028
